rev_count,date
23,"2006-01-12 00:00:00"
9,"2006-01-13 00:00:00"
76,"2006-01-14 00:00:00"
9,"2006-01-15 00:00:00"
9,"2006-01-16 00:00:00"
12,"2006-01-17 00:00:00"
20,"2006-01-18 00:00:00"
4,"2006-01-19 00:00:00"
24,"2006-01-20 00:00:00"
22,"2006-01-21 00:00:00"
11,"2006-01-22 00:00:00"
2,"2006-01-23 00:00:00"
4,"2006-01-24 00:00:00"
18,"2006-01-25 00:00:00"
23,"2006-01-26 00:00:00"
3,"2006-01-27 00:00:00"
7,"2006-01-28 00:00:00"
4,"2006-01-29 00:00:00"
4,"2006-01-30 00:00:00"
22,"2006-01-31 00:00:00"
8,"2006-02-01 00:00:00"
8,"2006-02-02 00:00:00"
6,"2006-02-03 00:00:00"
34,"2006-02-04 00:00:00"
7,"2006-02-05 00:00:00"
15,"2006-02-06 00:00:00"
8,"2006-02-07 00:00:00"
5,"2006-02-08 00:00:00"
3,"2006-02-09 00:00:00"
3,"2006-02-10 00:00:00"
3,"2006-02-11 00:00:00"
6,"2006-02-12 00:00:00"
3,"2006-02-13 00:00:00"
9,"2006-02-14 00:00:00"
6,"2006-02-15 00:00:00"
17,"2006-02-16 00:00:00"
3,"2006-02-18 00:00:00"
33,"2006-02-19 00:00:00"
19,"2006-02-20 00:00:00"
26,"2006-02-21 00:00:00"
4,"2006-02-22 00:00:00"
6,"2006-02-23 00:00:00"
15,"2006-02-24 00:00:00"
2,"2006-02-26 00:00:00"
29,"2006-02-27 00:00:00"
35,"2006-02-28 00:00:00"
18,"2006-03-01 00:00:00"
8,"2006-03-02 00:00:00"
4,"2006-03-03 00:00:00"
5,"2006-03-05 00:00:00"
16,"2006-03-06 00:00:00"
8,"2006-03-07 00:00:00"
19,"2006-03-08 00:00:00"
7,"2006-03-09 00:00:00"
8,"2006-03-10 00:00:00"
2,"2006-03-11 00:00:00"
1,"2006-03-12 00:00:00"
19,"2006-03-13 00:00:00"
7,"2006-03-14 00:00:00"
6,"2006-03-15 00:00:00"
4,"2006-03-16 00:00:00"
2,"2006-03-17 00:00:00"
2,"2006-03-18 00:00:00"
6,"2006-03-19 00:00:00"
4,"2006-03-20 00:00:00"
8,"2006-03-21 00:00:00"
5,"2006-03-22 00:00:00"
1,"2006-03-23 00:00:00"
3,"2006-03-24 00:00:00"
2,"2006-03-25 00:00:00"
6,"2006-03-26 00:00:00"
19,"2006-03-27 00:00:00"
4,"2006-03-28 00:00:00"
6,"2006-03-29 00:00:00"
5,"2006-03-30 00:00:00"
4,"2006-03-31 00:00:00"
6,"2006-04-01 00:00:00"
9,"2006-04-02 00:00:00"
20,"2006-04-03 00:00:00"
9,"2006-04-04 00:00:00"
13,"2006-04-05 00:00:00"
3,"2006-04-06 00:00:00"
17,"2006-04-07 00:00:00"
17,"2006-04-08 00:00:00"
11,"2006-04-09 00:00:00"
3,"2006-04-10 00:00:00"
19,"2006-04-11 00:00:00"
2,"2006-04-12 00:00:00"
7,"2006-04-13 00:00:00"
23,"2006-04-14 00:00:00"
3,"2006-04-15 00:00:00"
15,"2006-04-16 00:00:00"
11,"2006-04-17 00:00:00"
5,"2006-04-18 00:00:00"
20,"2006-04-19 00:00:00"
25,"2006-04-20 00:00:00"
27,"2006-04-21 00:00:00"
27,"2006-04-22 00:00:00"
17,"2006-04-23 00:00:00"
32,"2006-04-24 00:00:00"
18,"2006-04-25 00:00:00"
19,"2006-04-26 00:00:00"
20,"2006-04-27 00:00:00"
19,"2006-04-28 00:00:00"
15,"2006-04-29 00:00:00"
7,"2006-04-30 00:00:00"
8,"2006-05-01 00:00:00"
6,"2006-05-02 00:00:00"
2,"2006-05-03 00:00:00"
9,"2006-05-04 00:00:00"
7,"2006-05-05 00:00:00"
5,"2006-05-06 00:00:00"
6,"2006-05-07 00:00:00"
15,"2006-05-08 00:00:00"
14,"2006-05-09 00:00:00"
2,"2006-05-10 00:00:00"
9,"2006-05-11 00:00:00"
2,"2006-05-12 00:00:00"
5,"2006-05-13 00:00:00"
3,"2006-05-14 00:00:00"
10,"2006-05-15 00:00:00"
10,"2006-05-16 00:00:00"
19,"2006-05-17 00:00:00"
13,"2006-05-18 00:00:00"
12,"2006-05-19 00:00:00"
9,"2006-05-20 00:00:00"
7,"2006-05-21 00:00:00"
21,"2006-05-22 00:00:00"
7,"2006-05-23 00:00:00"
5,"2006-05-24 00:00:00"
15,"2006-05-25 00:00:00"
7,"2006-05-26 00:00:00"
16,"2006-05-27 00:00:00"
6,"2006-05-28 00:00:00"
14,"2006-05-29 00:00:00"
13,"2006-05-30 00:00:00"
8,"2006-05-31 00:00:00"
12,"2006-06-01 00:00:00"
8,"2006-06-02 00:00:00"
10,"2006-06-03 00:00:00"
11,"2006-06-04 00:00:00"
19,"2006-06-05 00:00:00"
9,"2006-06-06 00:00:00"
6,"2006-06-07 00:00:00"
1,"2006-06-08 00:00:00"
3,"2006-06-09 00:00:00"
3,"2006-06-10 00:00:00"
1,"2006-06-11 00:00:00"
13,"2006-06-12 00:00:00"
12,"2006-06-13 00:00:00"
12,"2006-06-14 00:00:00"
13,"2006-06-15 00:00:00"
5,"2006-06-16 00:00:00"
4,"2006-06-17 00:00:00"
25,"2006-06-18 00:00:00"
8,"2006-06-19 00:00:00"
7,"2006-06-20 00:00:00"
16,"2006-06-21 00:00:00"
31,"2006-06-22 00:00:00"
10,"2006-06-23 00:00:00"
7,"2006-06-24 00:00:00"
21,"2006-06-25 00:00:00"
3,"2006-06-26 00:00:00"
10,"2006-06-27 00:00:00"
10,"2006-06-28 00:00:00"
15,"2006-06-29 00:00:00"
21,"2006-06-30 00:00:00"
3,"2006-07-01 00:00:00"
11,"2006-07-02 00:00:00"
13,"2006-07-03 00:00:00"
22,"2006-07-04 00:00:00"
5,"2006-07-05 00:00:00"
16,"2006-07-06 00:00:00"
45,"2006-07-07 00:00:00"
17,"2006-07-08 00:00:00"
3,"2006-07-09 00:00:00"
12,"2006-07-10 00:00:00"
9,"2006-07-11 00:00:00"
6,"2006-07-12 00:00:00"
28,"2006-07-13 00:00:00"
9,"2006-07-14 00:00:00"
11,"2006-07-15 00:00:00"
7,"2006-07-16 00:00:00"
12,"2006-07-17 00:00:00"
10,"2006-07-18 00:00:00"
23,"2006-07-19 00:00:00"
14,"2006-07-20 00:00:00"
6,"2006-07-21 00:00:00"
6,"2006-07-22 00:00:00"
2,"2006-07-23 00:00:00"
19,"2006-07-24 00:00:00"
20,"2006-07-25 00:00:00"
20,"2006-07-26 00:00:00"
14,"2006-07-27 00:00:00"
26,"2006-07-28 00:00:00"
6,"2006-07-29 00:00:00"
7,"2006-07-30 00:00:00"
20,"2006-07-31 00:00:00"
11,"2006-08-01 00:00:00"
11,"2006-08-02 00:00:00"
27,"2006-08-03 00:00:00"
12,"2006-08-04 00:00:00"
20,"2006-08-05 00:00:00"
15,"2006-08-06 00:00:00"
33,"2006-08-07 00:00:00"
48,"2006-08-08 00:00:00"
24,"2006-08-09 00:00:00"
11,"2006-08-10 00:00:00"
18,"2006-08-11 00:00:00"
6,"2006-08-12 00:00:00"
25,"2006-08-13 00:00:00"
16,"2006-08-14 00:00:00"
25,"2006-08-15 00:00:00"
22,"2006-08-16 00:00:00"
21,"2006-08-17 00:00:00"
36,"2006-08-18 00:00:00"
19,"2006-08-19 00:00:00"
11,"2006-08-20 00:00:00"
23,"2006-08-21 00:00:00"
11,"2006-08-22 00:00:00"
33,"2006-08-23 00:00:00"
23,"2006-08-24 00:00:00"
17,"2006-08-25 00:00:00"
4,"2006-08-26 00:00:00"
12,"2006-08-27 00:00:00"
33,"2006-08-28 00:00:00"
7,"2006-08-29 00:00:00"
23,"2006-08-30 00:00:00"
13,"2006-08-31 00:00:00"
33,"2006-09-01 00:00:00"
35,"2006-09-02 00:00:00"
40,"2006-09-03 00:00:00"
30,"2006-09-04 00:00:00"
31,"2006-09-05 00:00:00"
12,"2006-09-06 00:00:00"
21,"2006-09-07 00:00:00"
26,"2006-09-08 00:00:00"
10,"2006-09-09 00:00:00"
8,"2006-09-10 00:00:00"
32,"2006-09-11 00:00:00"
21,"2006-09-12 00:00:00"
37,"2006-09-13 00:00:00"
17,"2006-09-14 00:00:00"
24,"2006-09-15 00:00:00"
7,"2006-09-16 00:00:00"
12,"2006-09-17 00:00:00"
15,"2006-09-18 00:00:00"
42,"2006-09-19 00:00:00"
13,"2006-09-20 00:00:00"
3,"2006-09-21 00:00:00"
34,"2006-09-22 00:00:00"
17,"2006-09-23 00:00:00"
8,"2006-09-24 00:00:00"
10,"2006-09-25 00:00:00"
22,"2006-09-26 00:00:00"
5,"2006-09-27 00:00:00"
9,"2006-09-28 00:00:00"
7,"2006-09-29 00:00:00"
8,"2006-09-30 00:00:00"
20,"2006-10-01 00:00:00"
24,"2006-10-02 00:00:00"
24,"2006-10-03 00:00:00"
25,"2006-10-04 00:00:00"
8,"2006-10-05 00:00:00"
27,"2006-10-06 00:00:00"
43,"2006-10-07 00:00:00"
21,"2006-10-08 00:00:00"
28,"2006-10-09 00:00:00"
37,"2006-10-10 00:00:00"
12,"2006-10-11 00:00:00"
24,"2006-10-12 00:00:00"
19,"2006-10-13 00:00:00"
8,"2006-10-14 00:00:00"
7,"2006-10-15 00:00:00"
10,"2006-10-16 00:00:00"
29,"2006-10-17 00:00:00"
11,"2006-10-18 00:00:00"
26,"2006-10-19 00:00:00"
14,"2006-10-20 00:00:00"
6,"2006-10-21 00:00:00"
18,"2006-10-22 00:00:00"
19,"2006-10-23 00:00:00"
15,"2006-10-24 00:00:00"
21,"2006-10-25 00:00:00"
11,"2006-10-26 00:00:00"
20,"2006-10-27 00:00:00"
31,"2006-10-28 00:00:00"
7,"2006-10-29 00:00:00"
16,"2006-10-30 00:00:00"
13,"2006-10-31 00:00:00"
16,"2006-11-01 00:00:00"
27,"2006-11-02 00:00:00"
29,"2006-11-03 00:00:00"
13,"2006-11-04 00:00:00"
32,"2006-11-05 00:00:00"
34,"2006-11-06 00:00:00"
31,"2006-11-07 00:00:00"
21,"2006-11-08 00:00:00"
18,"2006-11-09 00:00:00"
14,"2006-11-10 00:00:00"
7,"2006-11-11 00:00:00"
10,"2006-11-12 00:00:00"
35,"2006-11-13 00:00:00"
16,"2006-11-14 00:00:00"
33,"2006-11-15 00:00:00"
39,"2006-11-16 00:00:00"
16,"2006-11-17 00:00:00"
18,"2006-11-18 00:00:00"
14,"2006-11-19 00:00:00"
12,"2006-11-20 00:00:00"
12,"2006-11-21 00:00:00"
23,"2006-11-22 00:00:00"
19,"2006-11-23 00:00:00"
9,"2006-11-24 00:00:00"
10,"2006-11-25 00:00:00"
27,"2006-11-26 00:00:00"
40,"2006-11-27 00:00:00"
31,"2006-11-28 00:00:00"
35,"2006-11-29 00:00:00"
35,"2006-11-30 00:00:00"
12,"2006-12-01 00:00:00"
12,"2006-12-02 00:00:00"
23,"2006-12-03 00:00:00"
34,"2006-12-04 00:00:00"
26,"2006-12-05 00:00:00"
27,"2006-12-06 00:00:00"
11,"2006-12-07 00:00:00"
41,"2006-12-08 00:00:00"
15,"2006-12-09 00:00:00"
15,"2006-12-10 00:00:00"
31,"2006-12-11 00:00:00"
26,"2006-12-12 00:00:00"
13,"2006-12-13 00:00:00"
20,"2006-12-14 00:00:00"
22,"2006-12-15 00:00:00"
10,"2006-12-16 00:00:00"
24,"2006-12-17 00:00:00"
12,"2006-12-18 00:00:00"
39,"2006-12-19 00:00:00"
20,"2006-12-20 00:00:00"
26,"2006-12-21 00:00:00"
11,"2006-12-22 00:00:00"
16,"2006-12-23 00:00:00"
11,"2006-12-24 00:00:00"
6,"2006-12-25 00:00:00"
19,"2006-12-26 00:00:00"
19,"2006-12-27 00:00:00"
13,"2006-12-28 00:00:00"
27,"2006-12-29 00:00:00"
25,"2006-12-30 00:00:00"
18,"2006-12-31 00:00:00"
9,"2007-01-01 00:00:00"
27,"2007-01-02 00:00:00"
29,"2007-01-03 00:00:00"
43,"2007-01-04 00:00:00"
36,"2007-01-05 00:00:00"
37,"2007-01-06 00:00:00"
27,"2007-01-07 00:00:00"
39,"2007-01-08 00:00:00"
26,"2007-01-09 00:00:00"
33,"2007-01-10 00:00:00"
30,"2007-01-11 00:00:00"
30,"2007-01-12 00:00:00"
27,"2007-01-13 00:00:00"
31,"2007-01-14 00:00:00"
49,"2007-01-15 00:00:00"
30,"2007-01-16 00:00:00"
27,"2007-01-17 00:00:00"
59,"2007-01-18 00:00:00"
34,"2007-01-19 00:00:00"
43,"2007-01-20 00:00:00"
54,"2007-01-21 00:00:00"
48,"2007-01-22 00:00:00"
51,"2007-01-23 00:00:00"
77,"2007-01-24 00:00:00"
66,"2007-01-25 00:00:00"
45,"2007-01-26 00:00:00"
33,"2007-01-27 00:00:00"
41,"2007-01-28 00:00:00"
43,"2007-01-29 00:00:00"
67,"2007-01-30 00:00:00"
48,"2007-01-31 00:00:00"
44,"2007-02-01 00:00:00"
53,"2007-02-02 00:00:00"
29,"2007-02-03 00:00:00"
26,"2007-02-04 00:00:00"
44,"2007-02-05 00:00:00"
81,"2007-02-06 00:00:00"
66,"2007-02-07 00:00:00"
43,"2007-02-08 00:00:00"
56,"2007-02-09 00:00:00"
49,"2007-02-10 00:00:00"
23,"2007-02-11 00:00:00"
53,"2007-02-12 00:00:00"
60,"2007-02-13 00:00:00"
51,"2007-02-14 00:00:00"
53,"2007-02-15 00:00:00"
72,"2007-02-16 00:00:00"
25,"2007-02-17 00:00:00"
29,"2007-02-18 00:00:00"
47,"2007-02-19 00:00:00"
27,"2007-02-20 00:00:00"
36,"2007-02-21 00:00:00"
93,"2007-02-22 00:00:00"
76,"2007-02-23 00:00:00"
44,"2007-02-24 00:00:00"
33,"2007-02-25 00:00:00"
74,"2007-02-26 00:00:00"
78,"2007-02-27 00:00:00"
70,"2007-02-28 00:00:00"
79,"2007-03-01 00:00:00"
82,"2007-03-02 00:00:00"
24,"2007-03-03 00:00:00"
27,"2007-03-04 00:00:00"
82,"2007-03-05 00:00:00"
69,"2007-03-06 00:00:00"
49,"2007-03-07 00:00:00"
109,"2007-03-08 00:00:00"
102,"2007-03-09 00:00:00"
41,"2007-03-10 00:00:00"
46,"2007-03-11 00:00:00"
65,"2007-03-12 00:00:00"
45,"2007-03-13 00:00:00"
63,"2007-03-14 00:00:00"
68,"2007-03-15 00:00:00"
72,"2007-03-16 00:00:00"
28,"2007-03-17 00:00:00"
47,"2007-03-18 00:00:00"
47,"2007-03-19 00:00:00"
69,"2007-03-20 00:00:00"
75,"2007-03-21 00:00:00"
65,"2007-03-22 00:00:00"
64,"2007-03-23 00:00:00"
20,"2007-03-24 00:00:00"
31,"2007-03-25 00:00:00"
72,"2007-03-26 00:00:00"
66,"2007-03-27 00:00:00"
94,"2007-03-28 00:00:00"
91,"2007-03-29 00:00:00"
79,"2007-03-30 00:00:00"
27,"2007-03-31 00:00:00"
48,"2007-04-01 00:00:00"
90,"2007-04-02 00:00:00"
49,"2007-04-03 00:00:00"
67,"2007-04-04 00:00:00"
72,"2007-04-05 00:00:00"
20,"2007-04-06 00:00:00"
30,"2007-04-07 00:00:00"
43,"2007-04-08 00:00:00"
55,"2007-04-09 00:00:00"
69,"2007-04-10 00:00:00"
78,"2007-04-11 00:00:00"
52,"2007-04-12 00:00:00"
39,"2007-04-13 00:00:00"
20,"2007-04-14 00:00:00"
18,"2007-04-15 00:00:00"
50,"2007-04-16 00:00:00"
50,"2007-04-17 00:00:00"
43,"2007-04-18 00:00:00"
59,"2007-04-19 00:00:00"
24,"2007-04-20 00:00:00"
15,"2007-04-21 00:00:00"
23,"2007-04-22 00:00:00"
49,"2007-04-23 00:00:00"
56,"2007-04-24 00:00:00"
48,"2007-04-25 00:00:00"
45,"2007-04-26 00:00:00"
35,"2007-04-27 00:00:00"
31,"2007-04-28 00:00:00"
16,"2007-04-29 00:00:00"
39,"2007-04-30 00:00:00"
48,"2007-05-01 00:00:00"
35,"2007-05-02 00:00:00"
49,"2007-05-03 00:00:00"
29,"2007-05-04 00:00:00"
29,"2007-05-05 00:00:00"
20,"2007-05-06 00:00:00"
44,"2007-05-07 00:00:00"
59,"2007-05-08 00:00:00"
45,"2007-05-09 00:00:00"
60,"2007-05-10 00:00:00"
58,"2007-05-11 00:00:00"
59,"2007-05-12 00:00:00"
41,"2007-05-13 00:00:00"
41,"2007-05-14 00:00:00"
67,"2007-05-15 00:00:00"
45,"2007-05-16 00:00:00"
41,"2007-05-17 00:00:00"
55,"2007-05-18 00:00:00"
38,"2007-05-19 00:00:00"
41,"2007-05-20 00:00:00"
29,"2007-05-21 00:00:00"
41,"2007-05-22 00:00:00"
41,"2007-05-23 00:00:00"
67,"2007-05-24 00:00:00"
62,"2007-05-25 00:00:00"
44,"2007-05-26 00:00:00"
46,"2007-05-27 00:00:00"
43,"2007-05-28 00:00:00"
79,"2007-05-29 00:00:00"
64,"2007-05-30 00:00:00"
81,"2007-05-31 00:00:00"
76,"2007-06-01 00:00:00"
24,"2007-06-02 00:00:00"
47,"2007-06-03 00:00:00"
64,"2007-06-04 00:00:00"
62,"2007-06-05 00:00:00"
55,"2007-06-06 00:00:00"
46,"2007-06-07 00:00:00"
61,"2007-06-08 00:00:00"
60,"2007-06-09 00:00:00"
48,"2007-06-10 00:00:00"
82,"2007-06-11 00:00:00"
76,"2007-06-12 00:00:00"
74,"2007-06-13 00:00:00"
69,"2007-06-14 00:00:00"
83,"2007-06-15 00:00:00"
42,"2007-06-16 00:00:00"
47,"2007-06-17 00:00:00"
110,"2007-06-18 00:00:00"
116,"2007-06-19 00:00:00"
94,"2007-06-20 00:00:00"
130,"2007-06-21 00:00:00"
76,"2007-06-22 00:00:00"
53,"2007-06-23 00:00:00"
54,"2007-06-24 00:00:00"
83,"2007-06-25 00:00:00"
69,"2007-06-26 00:00:00"
80,"2007-06-27 00:00:00"
78,"2007-06-28 00:00:00"
53,"2007-06-29 00:00:00"
30,"2007-06-30 00:00:00"
28,"2007-07-01 00:00:00"
58,"2007-07-02 00:00:00"
57,"2007-07-03 00:00:00"
44,"2007-07-04 00:00:00"
75,"2007-07-05 00:00:00"
83,"2007-07-06 00:00:00"
49,"2007-07-07 00:00:00"
59,"2007-07-08 00:00:00"
55,"2007-07-09 00:00:00"
83,"2007-07-10 00:00:00"
88,"2007-07-11 00:00:00"
84,"2007-07-12 00:00:00"
73,"2007-07-13 00:00:00"
35,"2007-07-14 00:00:00"
73,"2007-07-15 00:00:00"
92,"2007-07-16 00:00:00"
60,"2007-07-17 00:00:00"
85,"2007-07-18 00:00:00"
81,"2007-07-19 00:00:00"
89,"2007-07-20 00:00:00"
58,"2007-07-21 00:00:00"
35,"2007-07-22 00:00:00"
71,"2007-07-23 00:00:00"
75,"2007-07-24 00:00:00"
87,"2007-07-25 00:00:00"
115,"2007-07-26 00:00:00"
120,"2007-07-27 00:00:00"
52,"2007-07-28 00:00:00"
55,"2007-07-29 00:00:00"
83,"2007-07-30 00:00:00"
110,"2007-07-31 00:00:00"
63,"2007-08-01 00:00:00"
94,"2007-08-02 00:00:00"
69,"2007-08-03 00:00:00"
50,"2007-08-04 00:00:00"
81,"2007-08-05 00:00:00"
94,"2007-08-06 00:00:00"
81,"2007-08-07 00:00:00"
92,"2007-08-08 00:00:00"
114,"2007-08-09 00:00:00"
77,"2007-08-10 00:00:00"
41,"2007-08-11 00:00:00"
57,"2007-08-12 00:00:00"
82,"2007-08-13 00:00:00"
72,"2007-08-14 00:00:00"
73,"2007-08-15 00:00:00"
96,"2007-08-16 00:00:00"
60,"2007-08-17 00:00:00"
52,"2007-08-18 00:00:00"
64,"2007-08-19 00:00:00"
109,"2007-08-20 00:00:00"
121,"2007-08-21 00:00:00"
83,"2007-08-22 00:00:00"
84,"2007-08-23 00:00:00"
73,"2007-08-24 00:00:00"
50,"2007-08-25 00:00:00"
53,"2007-08-26 00:00:00"
106,"2007-08-27 00:00:00"
75,"2007-08-28 00:00:00"
90,"2007-08-29 00:00:00"
61,"2007-08-30 00:00:00"
63,"2007-08-31 00:00:00"
34,"2007-09-01 00:00:00"
47,"2007-09-02 00:00:00"
38,"2007-09-03 00:00:00"
77,"2007-09-04 00:00:00"
116,"2007-09-05 00:00:00"
70,"2007-09-06 00:00:00"
50,"2007-09-07 00:00:00"
58,"2007-09-08 00:00:00"
57,"2007-09-09 00:00:00"
89,"2007-09-10 00:00:00"
91,"2007-09-11 00:00:00"
66,"2007-09-12 00:00:00"
77,"2007-09-13 00:00:00"
76,"2007-09-14 00:00:00"
32,"2007-09-15 00:00:00"
48,"2007-09-16 00:00:00"
57,"2007-09-17 00:00:00"
52,"2007-09-18 00:00:00"
69,"2007-09-19 00:00:00"
81,"2007-09-20 00:00:00"
46,"2007-09-21 00:00:00"
60,"2007-09-22 00:00:00"
58,"2007-09-23 00:00:00"
104,"2007-09-24 00:00:00"
73,"2007-09-25 00:00:00"
85,"2007-09-26 00:00:00"
70,"2007-09-27 00:00:00"
104,"2007-09-28 00:00:00"
44,"2007-09-29 00:00:00"
46,"2007-09-30 00:00:00"
